,Mưa đỏ,Mai,Lật mặt 7: Một điều ước,Nhà bà Nữ,Bố già,Bộ tứ báo thủ,Avengers: Hồi kết,Avatar: Dòng chảy của nước,Lật mặt 6: Tấm vé định mệnh,Nhà gia tiên,Exhuma: Quật mộ trùng ma,Phù thủy tối thượng trong Đa Vũ trụ hỗn loạn,Minions: Sự trỗi dậy của Gru,Hai Phượng,Cua lại vợ bầu,Avengers: Cuộc chiến vô cực,Bỗng dưng trúng số,Mắt biếc,Thám tử lừng danh Conan: Dư ảnh của độc nhãn,Tiệc trăng máu,Địa đạo: Mặt trời trong bóng tối,Mang mẹ đi bỏ,Em chưa 18,Doraemon: Nobita và cuộc phiêu lưu vào thế giới trong tranh,Kong: Đảo Đầu lâu,Gái già lắm chiêu 3,Fast & Furious 8,Aquaman: Đế vương Atlantis,Fast & Furious: Hobbs & Shaw,Lật mặt: 48h,Doraemon: Nobita và bản giao hưởng Địa Cầu,Fast & Furious 7,Godzilla x Kong: Đế chế mới,Đất rừng phương Nam,Godzilla đại chiến Kong,Kẻ trộm Mặt Trăng 4,Thanh gươm diệt quỷ: Vô hạn thành,Kung Fu Panda 4,Ma da,Người Nhện: Không còn nhà,Avengers: Đế chế Ultron,Siêu lừa gặp siêu lầy,Chị chị em em 2,Thor: Tình yêu và sấm sét,Thám tử lừng danh Conan: Ngôi sao 5 cánh 1 triệu đô,Người Nhện xa nhà,Cám,Đèn âm hồn,Mỹ nhân ngư,Thế Giới Khủng Long,Gặp lại chị bầu,Black Panther: Chiến binh Báo Đen,Em là bà nội của anh,Để Mai tính 2,Em và Trịnh,Fast & Furious X,Tee Yod: Quỷ ăn tạng 2,Minions
Mưa đỏ,0.0,0.8592653636256798,0.8664657662663133,0.8775413978038189,0.9305432349245607,1.0,0.8149537265622462,0.8477274921306585,0.9353736390450655,0.7740739690920202,0.8398094312261645,0.9295769545902746,0.7724351919660372,0.9347126154922568,0.9415850421754853,0.7390249786468778,0.9638194355625249,0.8849130251913336,1.0,0.8699436074219447,0.701352938434104,0.9127723264229329,1.0,0.8537995916391876,0.6865061420357019,0.8672978643232423,0.9226115576869679,0.8905074157228837,0.9341376473100975,0.9408955427104428,0.8923032236041333,1.0,0.7847797463882202,0.7955039141890415,0.793009711423823,1.0,0.5759755015381544,0.5805490655534429,0.9472035435386755,0.7964300855700999,0.8782720037114078,1.0,0.8268913410093126,0.8080784014090563,1.0,0.7795022347407037,0.7843382619838656,0.9012209933422628,0.7405755391157487,1.0,0.9755387159460128,0.923399105612095,0.9048922018792952,0.8575357216117965,0.8973928360958294,0.9083164723326893,0.6945975155533105,0.7996729852464552
Mai,0.8592653636256798,-2.220446049250313e-16,0.5835645729065337,0.520855025839088,0.3518817254295452,1.0,0.789664742651178,0.7485399158828138,0.33935358914355174,0.6338501222441133,0.6407880526638419,0.8727906998637873,0.8823825833906259,0.7352699927937006,0.6764866393545301,0.8382446349132036,0.6562558175432003,0.43507480010525534,1.0,0.6263112802312966,0.6096468942464279,0.6745695998272458,1.0,0.7289355872908215,0.8258128412625435,0.4291863694945922,0.819718201681021,0.6860524191932523,0.8074112833069548,0.6671159605294481,0.6953267794049169,0.9148757501541152,0.7873394965090279,0.6500022276698514,0.7320173731919728,1.0,0.8919460915762629,0.8660312676080328,0.7563265577930511,0.8690043927377501,0.8485224073267355,0.6889044953242986,0.3468592892362963,0.8419833146504541,1.0,0.8782006395975019,0.6123340511801598,0.7616661585285885,0.7225417734980247,1.0,0.7343525127560191,0.7807702948258005,0.65997430282719,0.5919754203939097,0.5341221674948768,0.8029768554099568,0.8107036786944495,0.8108347517895167
Lật mặt 7: Một điều ước,0.8664657662663133,0.5835645729065337,-2.220446049250313e-16,0.3795948733280312,0.6910399807571432,1.0,0.805530842879646,0.7566915152362845,0.7448814478716055,0.5813511661247919,0.7736096058104831,0.9017374017126666,0.8693858481983259,0.7110752148454103,0.5827376299316498,0.8783200223648981,0.5356146780192601,0.47533166220740675,1.0,0.680343186543181,0.5117580013658785,0.7931779749119923,1.0,0.5938005541095723,0.7058433471398367,0.6304734158449685,0.7610008839979838,0.7543982818727533,0.8813795259547624,0.7313681028341663,0.6108229148773567,0.8579591953783553,0.3619238463396328,0.6589685820489983,0.7347825178433056,1.0,0.7747204078666531,0.7517554372341071,0.7779356544445366,0.7655543212088028,0.8008382703305803,0.9843711816404447,0.6671197517010057,0.8956426287907236,1.0,0.9055688212665284,0.6427440448688277,0.8320784966207276,0.8888219959012074,1.0,0.798008719103883,0.8616039428992607,0.7162208380215015,0.6878524026724279,0.560382854934223,0.7120291188440755,0.8615468198973468,0.7809014450802745
Nhà bà Nữ,0.8775413978038189,0.520855025839088,0.3795948733280312,-2.220446049250313e-16,0.7268743628278402,1.0,0.7534206672833343,0.6152993698349889,0.7875521783039438,0.6720292198535702,0.7000982449139799,0.855688938573673,0.825316684499127,0.6431890462963252,0.3583184863124368,0.8588174700408929,0.7211835818508473,0.5020339023096908,1.0,0.7049242923221979,0.5753532153055937,0.581994458046339,1.0,0.6892160614018334,0.7904179120405646,0.6160163261185432,0.6275725279169396,0.7174578802323879,0.8149478564975089,0.6710285321893724,0.6239440719110962,0.8039153483881426,0.6725821475448714,0.6218298460638043,0.7548783448892386,1.0,0.7951631086849813,0.7809978948217151,0.7413003618997276,0.8077720077020409,0.8265680840692945,0.9071270692377599,0.6575725684856456,0.8356527473944958,1.0,0.8973124987043939,0.5333012070784018,0.6846781783517766,0.8738537842975077,1.0,0.8545594420570279,0.8007599247800545,0.6494744573153007,0.6252198192509827,0.45944316604719593,0.7986366143958086,0.7741285699393998,0.7402845123487576
Bố già,0.9305432349245607,0.3518817254295452,0.6910399807571432,0.7268743628278402,-2.220446049250313e-16,1.0,0.80140290612034,0.544186672034491,0.22562693235732778,0.7361022643403351,0.49494650055513656,0.7578671481957747,0.5716208339049784,0.77940944503298,0.7061709209581184,0.8626251443854,0.7114084671051215,0.7051028369105253,1.0,0.625216679527302,0.7287133597746636,0.8648365972345662,1.0,0.7917533920914449,0.710679313022952,0.632311301886181,0.7560151560358088,0.682159713434809,0.8590740298791547,0.5968667686657243,0.7078196974970289,0.8282261220032332,0.9162518068919577,0.7285094810689288,0.6740600546271602,1.0,0.8016577927008168,0.8233656984968591,0.8704208321954492,0.6550318370950317,0.82635766273968,0.5997927968625792,0.3987803339373438,0.7553052889860039,1.0,0.8678382975073509,0.7015838542953371,0.7873746231188123,0.814994835724315,1.0,0.8161813071093278,0.7957626384668222,0.7548149347919751,0.6536112213646907,0.7378666199277586,0.7505887680153194,0.6298052901495943,0.6958681962169098
Bộ tứ báo thủ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Avengers: Hồi kết,0.8149537265622462,0.789664742651178,0.805530842879646,0.7534206672833343,0.80140290612034,1.0,-2.220446049250313e-16,0.5394289530227122,0.7919854239974311,0.6752771368309268,0.6183855762051061,0.5629308096192939,0.6439381440101029,0.7570242270028642,0.7834947262007751,0.30832660865499206,0.9387596669398157,0.6956327147422046,1.0,0.7315795920599306,0.7380809883898783,0.8724801396517863,1.0,0.47824099579566115,0.6354245029712016,0.8866923557821285,0.7430339608266758,0.5580213208692268,0.5180349862724609,0.6937473371329932,0.6269199481037544,0.8611602471600209,0.9611500708384139,0.7659432304254639,0.5236834196948613,1.0,0.6397677814830038,0.600948840308533,0.8074770893736881,0.49665576932982425,0.3215158394009665,0.9376581858352224,0.7700552088836154,0.45982867009464934,1.0,0.3613761645156188,0.6234777001792442,0.8364285097196067,0.820175190454961,1.0,0.9050227727800302,0.35901388996304384,0.7316764347202729,0.5825054335565044,0.767526277041242,0.5404265086797579,0.6706597536006069,0.7230060895867705
Avatar: Dòng chảy của nước,0.8477274921306585,0.7485399158828138,0.7566915152362845,0.6152993698349889,0.544186672034491,1.0,0.5394289530227122,1.1102230246251565e-16,0.789196111459858,0.7214925392065102,0.5370358547056902,0.621199129101274,0.4599226910135559,0.7374333605257481,0.7375434419543341,0.6125785084455011,0.9790142066292808,0.7398438731366597,1.0,0.6926866006175758,0.6261774455382783,0.7566622860464299,1.0,0.7258401413671984,0.539172468280438,0.8340157756052402,0.6151425160343313,0.5625894059196224,0.5889017188660168,0.6636456653496337,0.6860735322183904,0.7396473031636126,1.0,0.7135226401063572,0.5539745123364579,1.0,0.35688585768646996,0.7240281586917907,0.7631979215049558,0.47451626240137024,0.6418410249938156,0.8684796672224186,0.8503656819693218,0.5067398802909701,1.0,0.6156283162371519,0.617108878130186,0.8013908041088581,0.8824943707890586,1.0,0.8117967614972201,0.6211850966800154,0.7270643032199677,0.740333052593005,0.7823323774165014,0.5055658580150768,0.48537077707321974,0.5125233681785553
Lật mặt 6: Tấm vé định mệnh,0.9353736390450655,0.33935358914355174,0.7448814478716055,0.7875521783039438,0.22562693235732778,1.0,0.7919854239974311,0.789196111459858,-2.220446049250313e-16,0.7077994166044915,0.5229333968981029,0.8068489330256805,0.7154526995176748,0.841209542491455,0.7234792668556562,0.819923484950521,0.4863171705420558,0.6778038776972246,1.0,0.7676078177034873,0.7573108345571735,0.9209331986962063,1.0,0.7709405088764715,0.7453750836602544,0.5642535969329019,0.8545361441544712,0.7446922025944769,0.8244737968017111,0.6744002328473662,0.768416793871515,0.903735570532942,0.8571461183442513,0.7361393250732455,0.7588909592596333,1.0,0.86929372788155,0.8187535831237349,0.8644303435680789,0.72066132446073,0.815512332578237,0.45800937616313,0.3007145282851902,0.7920326170333007,1.0,0.8796572272312548,0.7430263456128356,0.7669064494396647,0.8279283501751509,1.0,0.9131098770731387,0.8447527315525902,0.774527127429193,0.6372466482451505,0.7360384192794946,0.8455922337794055,0.6973234082734188,0.7512935990830201
Nhà gia tiên,0.7740739690920202,0.6338501222441133,0.5813511661247919,0.6720292198535702,0.7361022643403351,1.0,0.6752771368309268,0.7214925392065102,0.7077994166044915,0.0,0.7602994398306909,0.8459597681815356,0.8392048335711206,0.7595402052435374,0.7748336694236455,0.7517587555711271,0.7302027627472991,0.526465265163139,1.0,0.6545646344973695,0.6424068961900229,0.8836970438748283,1.0,0.5563094567779235,0.6614040378334909,0.6873205808973806,0.7532098380381667,0.6697995469770914,0.81667630979859,0.7891754149313008,0.6446058569368893,0.8887904939273648,0.7769080193772575,0.7265214155870728,0.7555580243289595,1.0,0.7920068962668331,0.7024400732333295,0.6155572941557623,0.8432897508599143,0.7444440072346687,0.9304424283368948,0.696676293806453,0.8402249117553685,1.0,0.852952394785347,0.5489540613888431,0.8815606408541381,0.5810912599818786,1.0,0.804969651499375,0.7856983748389456,0.7692127881519468,0.6028934675789661,0.6947622856986078,0.7840769614962437,0.7492446592813191,0.7840680436641576
Exhuma: Quật mộ trùng ma,0.8398094312261645,0.6407880526638419,0.7736096058104831,0.7000982449139799,0.49494650055513656,1.0,0.6183855762051061,0.5370358547056902,0.5229333968981029,0.7602994398306909,-2.220446049250313e-16,0.7458655158993561,0.5303129997457161,0.706685823503058,0.6626188067424803,0.559526568174564,0.8019415042012477,0.770208600306955,1.0,0.650119922293394,0.7013219107496028,0.8883938797469395,1.0,0.6212708151673154,0.4654658979314552,0.7803692072762134,0.6309698199552931,0.660998392130539,0.6562407009003532,0.7682864942756731,0.6601486536889436,0.9037935380010217,0.8323307369733544,0.67168722223483,0.47383991803421277,1.0,0.6766703168156674,0.7312834182956647,0.8727052751614228,0.5529076349564248,0.694443214792873,0.7637313978328906,0.6153295352601162,0.4508803303151383,1.0,0.6272402764146142,0.5409161396206505,0.8782233219668569,0.7425721505591603,1.0,0.9382418628567853,0.6098103671588799,0.6749048925591625,0.7491790205300553,0.7183609951410402,0.6207013221459975,0.5598819883002493,0.5536856576244936
Phù thủy tối thượng trong Đa Vũ trụ hỗn loạn,0.9295769545902746,0.8727906998637873,0.9017374017126666,0.855688938573673,0.7578671481957747,1.0,0.5629308096192939,0.621199129101274,0.8068489330256805,0.8459597681815356,0.7458655158993561,-2.220446049250313e-16,0.6321868740215735,0.8400396055384921,0.8380958428388773,0.7450313506008484,0.8857592376828741,0.8790864858656878,1.0,0.8715119756606209,0.7331981995226491,0.7963534640718594,1.0,0.8008203287537917,0.6780852993086401,0.7855579937741439,0.7096255738678684,0.6442663459041993,0.6739298766356032,0.8471784354817027,0.774932556244755,0.8707966217919285,1.0,0.7475476457913901,0.5821615157900368,1.0,0.7678938533854887,0.6899838437246877,0.8179993844290673,0.4399385943609543,0.6928159669956142,0.9185588623191068,0.8421598501612564,0.5714206938361468,1.0,0.7200244172595154,0.7880713595401106,0.8479665692020605,0.8613234464265213,1.0,0.9511276828749959,0.7856133826020986,0.8344984195416141,0.7904189018837755,0.8690405206405777,0.6914859111613759,0.7088937427534607,0.6659784059223519
Minions: Sự trỗi dậy của Gru,0.7724351919660372,0.8823825833906259,0.8693858481983259,0.825316684499127,0.5716208339049784,1.0,0.6439381440101029,0.4599226910135559,0.7154526995176748,0.8392048335711206,0.5303129997457161,0.6321868740215735,-4.440892098500626e-16,0.8701911640814708,0.8374058946472589,0.6519550115364483,0.8715048008904922,0.7791568533561508,1.0,0.6813029598155089,0.7484353105549493,0.9316530366387367,1.0,0.6664618464392125,0.5196194186597327,0.9179596432403253,0.7305740359300603,0.6619470728703724,0.709452134913596,0.8539687667630173,0.6667788708990523,0.8873006307122107,1.0,0.7189404091875093,0.5842207231742922,1.0,0.6362488921525136,0.5475445583404461,0.8587176819421163,0.4183361040578295,0.80195210177002,0.8072603389601104,0.7862455587133477,0.5899708996775573,1.0,0.7426531034828046,0.5999496217434113,0.8770037477690585,0.8549498312611468,1.0,0.9519612336880281,0.7200759973085744,0.6744286732249218,0.6913513891893409,0.7733153520617955,0.6686964066063086,0.31178215786602204,0.4759408432576404
Hai Phượng,0.9347126154922568,0.7352699927937006,0.7110752148454103,0.6431890462963252,0.77940944503298,1.0,0.7570242270028642,0.7374333605257481,0.841209542491455,0.7595402052435374,0.706685823503058,0.8400396055384921,0.8701911640814708,0.0,0.5460936757694868,0.6739425351125674,0.8867748262193903,0.6259611207009202,1.0,0.7927910388572705,0.7358075286559748,0.845856514274766,1.0,0.7159103806816041,0.6837904340920185,0.8509976402507762,0.5496010869025736,0.7286413222251598,0.7604628134246674,0.2926803380790107,0.6286197158585715,0.8333014389273561,0.8745491340149448,0.6104741851821616,0.7548043718918838,1.0,0.7834353481998634,0.8547248713026221,0.8067251376333395,0.7595414440341473,0.7830032661095134,0.7747907419261296,0.8388898926858384,0.7026158404380296,1.0,0.7855553763619492,0.7247863365087918,0.9300763328625387,0.8837721826314384,1.0,0.9162315248044467,0.7407820740187838,0.5965461390122813,0.6251005384315691,0.745092203124487,0.7377150091368481,0.8628757648921173,0.7866579275891667
Cua lại vợ bầu,0.9415850421754853,0.6764866393545301,0.5827376299316498,0.3583184863124368,0.7061709209581184,1.0,0.7834947262007751,0.7375434419543341,0.7234792668556562,0.7748336694236455,0.6626188067424803,0.8380958428388773,0.8374058946472589,0.5460936757694868,-2.220446049250313e-16,0.802041333495717,0.7614281661197977,0.5244966197740699,1.0,0.7184657245880576,0.7191395752871645,0.6303948368188853,1.0,0.6525235254792254,0.7834692526227779,0.7727749270365001,0.3970305224307812,0.7862586539676586,0.7943825869980563,0.6977840318835906,0.44992065731350284,0.6991630881363505,0.7992882067602278,0.6820241871186303,0.7884602081237233,1.0,0.7688947617190074,0.8228802648345805,0.8364708865526688,0.8782270711442932,0.7993017965512541,0.8642711054940286,0.708390665198172,0.8417460103687711,1.0,0.8915425524589602,0.7046449543940982,0.7653250962792321,0.9069381655112745,1.0,0.9034774466575272,0.7952351207895701,0.4506491348099946,0.6846016289388142,0.604503885004589,0.7627938055525628,0.8234349055545899,0.7665693112340748
Avengers: Cuộc chiến vô cực,0.7390249786468778,0.8382446349132036,0.8783200223648981,0.8588174700408929,0.8626251443854,1.0,0.30832660865499206,0.6125785084455011,0.819923484950521,0.7517587555711271,0.559526568174564,0.7450313506008484,0.6519550115364483,0.6739425351125674,0.802041333495717,-2.220446049250313e-16,0.8627518281990469,0.8080016829988368,1.0,0.7886646704347088,0.6527535331319123,0.8363877285941164,1.0,0.5053267470133331,0.567619170584085,0.9437358422248266,0.6191297217244882,0.45887404721865355,0.4938843349869888,0.6328139348153454,0.5956514970670999,0.942893011200124,0.8601612155723841,0.7369038568742066,0.5255140397694502,1.0,0.6861153651954395,0.6492166714407378,0.9079321994452341,0.5625813035180888,0.32351477181511823,0.8754644551117882,0.7703638005140527,0.4058329465115832,1.0,0.278806913744407,0.6820277806049115,0.7978533931328655,0.7849933374591148,1.0,0.9084631695452469,0.3039793230512209,0.7708623161126165,0.6761020208763984,0.8525213027772324,0.49506108303159446,0.6136128829453528,0.6321985202706986
Bỗng dưng trúng số,0.9638194355625249,0.6562558175432003,0.5356146780192601,0.7211835818508473,0.7114084671051215,1.0,0.9387596669398157,0.9790142066292808,0.4863171705420558,0.7302027627472991,0.8019415042012477,0.8857592376828741,0.8715048008904922,0.8867748262193903,0.7614281661197977,0.8627518281990469,0.0,0.7875010586569713,1.0,0.8028830163344989,0.7693410442702726,1.0,1.0,0.6599870469441267,0.7491477861542578,0.7857425067496702,0.850552438196444,0.8199527347048718,0.8514571533712425,0.8111640571755214,0.7572062228446321,0.863876391157961,0.6123515107056272,0.7744711598491621,0.9030486948560972,1.0,0.879831522375956,0.8619125187948886,0.8708415548105923,0.757921643567858,0.8588852573091387,0.5834063550546011,0.5206978560786528,0.8868481597235296,1.0,0.9226870614607013,0.8316072072910203,0.9578007741794613,0.8066397043680722,1.0,0.8753503017184093,0.8867493907467404,0.9260319950349948,0.7371318725518896,0.7736720957853227,0.8797378024380741,0.7805590006286574,0.6943947538917915
